SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT149D12	45126	117366	0	0	0	0	0	23552519	0	0	0	0	0	0	7706321	10104
BMT149D17	142073	0	0	0	15631	0	0	26651295	0	0	0	0	0	0	3515371	0
BMT149D24	151560	0	0	0	6010	0	0	27970121	0	0	0	0	0	0	9846307	0
BMT149D28	386707	377372	0	0	5902	0	0	55134152	0	0	95572	0	12310	0	14593147	28804
BMT149pre	272855	68913	0	0	117739	0	17244	27353626	0	0	27188	0	0	0	13966863	22690
BMT151D1	533212	466293	0	0	4751	0	0	27733113	0	0	82472	0	0	0	3687625	0
BMT151D114	1190308	15120053	0	0	4265	0	0	36793636	0	0	1101037	0	0	18729	7792024	1216329
BMT151D15	241881	173713	0	0	12827	0	0	39862590	0	0	0	0	0	0	2311459	0
BMT151D43	1161546	11663896	0	0	0	0	0	23708702	0	0	5814938	0	0	16914	9784200	22649
BMT151pre	959537	14252603	0	0	3641	0	0	7412104	0	0	20400	0	0	0	4217920	1204640
BMT152PRE	1745771	471363	0	0	4115	0	0	19015020	0	0	0	0	0	0	3644586	0
BMT153D1	2893818	524228	0	0	3040	0	0	46922123	0	0	30470	0	0	18800	13930319	12470
BMT153D142	2144999	12030914	0	0	0	0	0	50132959	5897	0	464694	0	26717	56152	19000409	20669
BMT153D183	787563	34986611	0	0	0	0	0	17191597	0	0	274744	0	0	26860	8760821	24444
BMT153D73	91506	10261560	0	0	3636	0	0	36418893	0	0	795659	0	0	16440	20128304	11906
BMT153D99	350318	588738	0	0	0	0	0	42019851	0	0	33724	0	0	39913	14534729	0
BMT153pre	3164902	1656927	0	0	13134	0	0	46747321	0	0	0	15160	0	9290	12107632	22710
BMT164D183	1054887	33654339	58351	0	0	0	0	25897987	0	0	58421	3272693	350634	9803	11071048	15622
BMT164D26	6015704	10973747	0	0	0	0	0	63641981	0	0	1724567	0	0	0	2302008	11619
BMT164D7	23500	5376658	12528	0	3800	0	0	47490259	8557	0	34303	0	0	0	5135474	22625
BMT164D9	34695	24204544	0	0	0	0	0	33833449	0	0	0	0	0	0	4089115	0
BMT165D1	356404	35218345	0	0	0	0	0	7844913	0	0	1118180	0	1133907	0	10896338	34049
BMT165D22	2815043	4248749	0	0	0	0	0	44536812	0	0	0	0	0	0	6151817	949893
BMT165D29	3226666	5909979	0	0	0	0	0	52605495	0	0	54911	0	0	9455	8554809	10067
BMT165D8	2517711	7561324	0	0	0	0	0	38784829	0	0	11574	0	0	202422	9371238	0
BMT165PRE	4545537	13302479	0	0	0	0	0	42527822	0	0	2222452	0	213694	19813	10957641	197900
BMT166D5	15171089	9335890	0	0	19958	0	0	76658295	81812	0	381316	43944	125454	8521	26430569	22632
BMT166PRE	4798307	29947889	0	0	0	0	0	43305214	324730	0	761416	0	233723	24461	13342010	0
BMT168D11	44892	23025422	0	0	0	0	0	15205873	0	0	0	0	0	0	9282344	0
BMT168D18	89511	37233208	0	0	0	0	0	4132575	0	0	0	0	0	15033	4415749	13412
BMT168PRE	1957441	16626995	0	0	12332	0	0	30815250	0	0	106411	0	252377	14534	10202661	16833
BMT169D7	549099	8267036	0	0	35269	0	0	27616454	34555	0	165145	0	0	40476	17597802	0
BMT169PRE	258180	4096805	0	0	21509	0	0	37125751	0	0	952576	0	0	0	9772273	10140
BMT170D135	1833348	44888250	6916	134511	3756	0	0	37605516	0	0	0	0	466528	40023	10272795	10725
BMT170D2	1130601	23261642	0	0	2989	0	0	23302226	0	0	147275	0	23732	34337	4239147	10539
BMT170D27	3736630	807918	0	0	28391	0	0	17844738	0	0	0	0	0	6975	16302533	9836
BMT170D55	40868	21378237	7808	0	9219	0	0	17502013	7636	0	14609	0	0	0	9838757	10762
BMT170PRE	1760373	18168427	0	0	0	0	0	24857689	0	0	464383	0	297630	18067	6489601	23692
BMT171D0	1365756	25631523	24942	0	2088	0	0	21348733	1593368	0	17871	29184	1093631	0	5004014	49307
BMT171D23	3754909	3409927	16131	0	0	0	0	42120995	80701	0	0	0	1169307	11487	11471911	18993
BMT171PRE	1347214	33930846	0	0	1954	0	0	32882786	536811	0	6994826	411150	1348971	25021	14285817	11498914
BMT173D2	598636	389720	0	0	4778	0	0	55412331	0	0	31163	0	12354	0	14631145	1005138
BMT173D37	464590	336084	0	0	3315	0	0	59894763	6485	0	0	0	0	0	12684068	47729
BMT173D69	3016906	9740169	0	0	1275	0	0	61434683	0	0	836908	0	0	103471	10934591	311461
BMT173PRE	304474	5161998	0	0	6860	0	0	36016712	0	0	57809	0	23161	12714	18379213	329266
BMT174D61	232981	28941239	0	0	0	0	0	14124759	0	0	826270	0	544024	16342	8921279	3593010
BMT174D7	4941312	4524231	0	0	0	0	0	44000375	0	0	81208	0	48784	11532	7953113	8868
BMT174PRE	149498	795471	0	0	0	0	0	1493547	0	0	25534	0	14023	0	-26919	10767
BMT180D-6	1970178	9334724	0	0	6169	0	0	41800218	71050	0	242449	0	43667	30659	10732127	1127829
BMT180D0	2104170	5891632	0	0	3265	0	0	48606293	27804	0	85603	0	48937	28332	11143482	12723
BMT181D3	570531	8366375	9595	0	0	0	0	34270375	0	0	4792062	0	1130786	0	3828829	18046
BMT181PRE	470073	35610727	0	0	0	0	0	34536524	0	0	727045	0	198926	0	7647621	9576
BMT182D-12	2449582	41489876	0	0	9808	0	0	49649704	0	0	550650	10864	468395	12889	18463950	15998
BMT182D-13	9137713	20057402	0	0	0	0	0	42272440	0	0	209352	0	0	21219	8211496	10657
BMT183D5	1049239	14274974	0	0	55081	0	0	34319160	26037	0	1027427	0	0	21088	8585639	24336
BMT183D7	3069790	13028711	0	0	35136	0	0	42605198	1588252	0	906866	0	829829	68092	7537773	27472
BMT184PRE	1218449	14280142	0	0	0	0	0	23402817	0	0	2910180	0	221305	9472	8469310	6652986
BMT185D0	3924989	12109232	0	0	8333	0	0	15491964	0	0	16862767	0	1124316	19897	9787171	1850345
BMT185PRE	2920530	8934118	0	0	3490	0	0	10889600	10966	0	22666081	9106	363979	8064	7410630	41036
