SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20923PRE	5539960	30527899	0	0	11272	0	22782079	0	0	103661	0	0	0	923262	0
D21044D10	840868	267685	0	165588	0	0	24714728	0	4746	0	0	635656	0	1449191	14158
D21044D102	1969650	5421708	0	0	0	0	31357724	0	0	6174589	0	0	13671	4600283	11146
D21044D20	19330	5377145	0	0	0	0	50811124	0	0	72148	0	0	0	17528	11270
D21044D27	2002338	7931264	0	0	0	0	48070010	0	4543	49422	0	0	0	3739239	10190
D21044D60	272631	16690055	0	0	0	0	22852018	0	0	88154	0	0	16983	2769796	10377
D21044PRE	1058474	3497625	0	0	0	0	29408827	0	0	17812	0	0	0	4314320	0
D21276D-2	58551	349269	0	0	0	0	11483939	0	0	15746704	0	0	0	12486385	13630
D21276D13	96741	39800952	0	0	0	0	10885506	0	0	1706483	0	438801	0	5425316	0
D21276D183	244819	18943320	0	0	0	0	16384519	9633	0	1413820	29988	75754	0	5599561	11252
D21276D30	151877	13053156	0	0	0	0	34497673	0	0	6706233	173705	739710	0	13262748	10466
D21276D5	1697276	17646256	0	0	0	0	16001000	0	4049	5140404	683476	461744	0	11235793	17731
D21276D57	105654	17742751	0	0	0	0	7645403	0	0	1685976	749576	798880	0	7395240	11548
D21276D89	1049041	163577	0	0	0	0	13731901	0	0	58115	0	11498	0	32446025	16514
D21276PRE	1104500	25459026	0	0	0	0	23478348	0	0	570253	0	431953	34219	8883046	13870
D21281D2	85756	27692938	0	0	0	0	7014319	0	0	0	0	0	0	12673646	0
D21281D49	1283067	3817531	27866	0	0	0	36642077	0	0	63414	0	0	0	7885692	0
D21281PRE	3683569	2303735	0	0	0	0	40407206	0	12668	17869	0	0	0	8583195	13563
D21309D0	338609	523551	0	0	0	0	46364951	0	0	97996	0	0	0	9488279	28210
D21309D10	245151	470431	0	0	0	0	31349763	16274	0	0	12343	0	0	16099236	17683
D21309D15	6289	2245549	0	0	0	0	1166490	0	0	21469	0	0	0	16939945	5253366
D21309D181	532385	14880497	0	0	0	0	23752308	0	0	4192823	11295	21296	13854	6069694	388477
D21309D22	265095	1396334	7568	0	0	0	4705772	0	0	650530	0	0	0	344354	5874456
D21309D29	1693484	8576790	11266	0	4792	0	43416992	0	0	9337	0	0	0	9225752	153742
D21309D365	973339	7713129	0	0	2363	0	34742946	0	0	2178697	10961	8927	8881	6083042	446821
D21309D58	245611	22685113	0	0	0	0	22536347	0	0	20899	0	0	0	8396927	11532
D21309PRE	1712674	3575656	0	39002	0	0	31864567	0	0	347444	0	119331	9156	5676119	3151761
D21376D20	962064	21153223	0	0	0	0	17307002	0	0	26597	28666	118564	0	5787523	1367749
D21376D358	2170695	10559621	0	0	0	0	41029022	0	0	36413	0	60777	8427	7487602	457282
D21376D50	1429980	13248066	0	0	0	44576	30185546	0	0	41098	58592	400880	0	6201738	446027
D21376D6	1790370	6405387	0	0	0	0	36551018	0	0	20638	0	0	0	9012650	586861
D21376D95	2274326	16347890	0	44915	0	31395	34363611	0	0	53701	45760	351024	9800	3581865	39737
D21376PRE	2617391	3954787	0	237656	2386	67898	25534407	0	0	79491	61615	286491	0	7017604	117443
D21590D19	100501	8764640	6101	0	0	0	34305604	26129	8987	0	0	0	0	3721075	5568293
D21590D6	2788048	4720245	0	0	0	0	27254137	0	0	14870	0	0	0	5173945	8749944
D21590D97	806268	5022644	0	30687	0	0	31952173	0	0	507115	0	0	0	9261995	3921209
D21590PRE	206533	17198307	0	0	0	0	21745502	0	0	17703	0	0	0	6034087	10846
D21593D-3	8628145	6023743	0	0	0	0	38360642	0	0	138154	0	0	0	4103917	27417
D21593D7	3538797	12896698	0	0	0	0	32829340	0	0	19200	0	0	0	1192148	0
