SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20784D113	0.538756673881705	5.43645128724066	0	0	0	0	63.5378150105409	0	0	0	0	0	0	17.8687	12.6182665699373
D20784D12	0.0141806948365083	65.1143751117436	0	0	0	0	16.597624675185	0	0	0	0	0	0	18.26689	0.0069227945397824
D20784D171	0.0774245947474458	4.69622509402687	0	0	0	0	66.7131415803301	0	0	0.465081772791834	0	0	0	12.42552	15.6226035415737
D20784D24	0.0185541029592022	14.304424809509	0	0	0	0	68.6969151722322	0	0	7.62008941533148	0	0	0	9.35954	0.0004803944586407
D20784D61	0.0001725426941262	12.1795254237334	0	0	0	0	72.836537214844	0	0	5.78919787929598	0	0	0	9.18806	0.0065112164046588
D20784D7	0.0689630657785707	12.9751558654872	0	0	0	0	78.1530625756883	0	0	0.0085485371920255	0	0	0	8.76695	0.0273242997760046
D20784D89	0.0212759118138861	0.256335405276158	0	0	0	0	67.3462736591133	0	0	0	0	0	0	8.53004	23.8460803783852
D20784PRE	10.4980772514075	6.02353672729229	0	0	0	0	68.262053360514	0	0	0.0110096706935342	0	0	0.0011620376617982	15.17973	0.0244282369779495
D20923D15	0.59023629986427	15.4245114086221	0	0	0.0055914069248503	0	61.4455092132365	0	0	10.4104172487626	0	0	0	12.0848	0.038937643506544
D20923D22	4.7156367065406	9.7627408212376	0	0	0.0755243409156819	0	74.9074549550309	0	0	6.37400898387786	0	0	0	4.14476	0.0198803760704561
D20923D8	1.46615940361963	19.1955008025201	0	0	0	0	27.0092793724547	0	0	40.3840467723004	0	0	0	11.94502	0
D20923D98	1.1008321556651	24.8116289086281	0.0107749670608298	0	0	0	62.187620740947	0.0021125653220166	0	0.270885677232315	0	0	0	11.60815	0.0079994628302305
D20923PRE	15.2434998516113	31.3121890280228	0	0	0.0203808796260187	0	51.8186818242197	0	0	0.0635942519345193	0	0	0	1.54164	0
D21044D102	6.04325865961196	6.83983275249511	0	0	0	0	70.4141834092264	0	0	7.39307119491137	0	0	0.0212274613067597	9.28435	0.0040640609681317
D21044D10	3.5931795602539	0.295857690615898	0	1.01751524909175	0	0	87.6996835153022	0	0.0075398898554139	0	0	2.19520810795469	0	5.15862	0.0324073001710057
D21044D20	0.0063180326794094	5.64223311111715	0	0	0	0	94.3030557417376	0	0	0.0137757104940289	0	0	0	0.03113	0.0034789167285356
D21044D27	3.15823721059826	7.51827518256539	0	0	0	0	83.2513117524316	0	0.0002160853157973	0.0219467520740286	0	0	0	6.04986	0.0001597152334154
D21044D60	0.637938793589623	24.9721724741594	0	0	0	0	67.750766287301	0	0	0.105445665232803	0	0	0.0466351128517194	6.48664	0.0004021074498945
D21044PRE	3.2783261059672	5.32277996922166	0	0	0	0	80.1313469921308	0	0	0.0021385036568605	0	0	0	11.26541	0
D21276D13	0.225849773157014	59.4007851191144	0	0	0	0	27.2861355818208	0	0	2.87390661747095	0	0.916033981544029	0	9.29728	0
D21276D183	0.730381329999396	39.8651979782519	0	0	0	0	42.9844766196402	0.0093493815113296	0	3.01760846196067	0.087950222730185	0.189611713141484	0	13.10984	0.0055870374644841
D21276D-2	0.0532533094279259	0.55258747768737	0	0	0	0	32.239594862706	0	0	36.0249613462927	0	0	0	31.10827	0.0213357696375532
D21276D30	0.266808542837636	17.7754940104906	0	0	0	0	52.4969926957438	0	0	8.48343236053676	0.377053806925252	1.26542074436354	0	19.3347	9.67983587511077e-05
D21276D57	0.296552070021365	46.9827207522252	0	0	0	0	22.5924145448023	0	0	4.07856525954262	2.99981594577317	2.58012867358287	0	20.46557	0.004239185037853
D21276D5	4.40686009867582	25.9482227451347	0	0	0	0	39.7093800220796	0	0.0005434121748733	5.98440926894932	1.66418797224135	1.00940780367408	0	21.24461	0.0323842154069425
